Date,Price,Open,High,Low,Vol.,Change %
25/6/2020,12490.3,12215.7,12719,12147.1,51.41,1.11%
24/6/2020,12353,12353,12513.1,12261.5,13.72,0.00%
23/6/2020,12353,12490.3,12673.3,12238.6,23.97,-1.10%
22/6/2020,12490.3,12536,12719,12330.1,20.49,-0.18%
19/6/2020,12513.1,12353,12513.1,12353,22.18,2.05%
18/6/2020,12261.5,11872.6,12284.4,11826.9,19.07,2.09%
17/6/2020,12009.9,11987,12101.4,11849.7,14.88,0.19%
16/6/2020,11987,11895.5,12078.5,11735.3,19.01,3.15%
15/6/2020,11621,12032.7,12124.2,11598.1,23.87,-4.15%
12/6/2020,12124.2,11209.2,12124.2,11209.2,39.76,3.92%
11/6/2020,11666.7,12284.4,12421.6,11666.7,48.17,-5.56%
10/6/2020,12353,12353,12536,12192.9,20.79,-0.37%
9/6/2020,12398.7,12787.6,12810.5,12330.1,39.37,-2.17%
8/6/2020,12673.3,12581.8,12856.3,12490.3,36.11,2.40%
5/6/2020,12375.9,12124.2,12490.3,11987,28.5,1.69%
4/6/2020,12170,12353,12536,12170,28.41,-1.30%
3/6/2020,12330.1,12375.9,12444.5,12170,25.31,-0.37%
2/6/2020,12375.9,12719,12719,12330.1,24.2,-2.17%
1/6/2020,12650.4,12719,12719,12558.9,16.9,0.91%
29/5/2020,12536,12490.3,12673.3,12353,26.49,0.74%
28/5/2020,12444.5,12581.8,12627.5,12307.2,30.51,0.00%
27/5/2020,12444.5,13085,13085,12444.5,41.65,-4.23%
26/5/2020,12993.5,12513.1,12993.5,12490.3,24.23,4.03%
25/5/2020,12490.3,12581.8,12719,12421.6,23.52,0.18%
22/5/2020,12467.4,12055.6,12558.9,12009.9,34.23,2.83%
21/5/2020,12124.2,12055.6,12147.1,11941.2,23.62,0.19%
20/5/2020,12101.4,11895.5,12170,11735.3,24.4,1.15%
19/5/2020,11964.1,12078.5,12284.4,11918.4,39.68,4.18%
18/5/2020,11483.7,11186.3,11483.7,10980.4,28.41,6.81%
15/5/2020,10751.7,10957.6,11003.3,10705.9,16.7,-1.88%
14/5/2020,10957.6,10888.9,11026.2,10843.2,13.73,-0.62%
13/5/2020,11026.2,10728.8,11071.9,10660.2,20.23,1.90%
12/5/2020,10820.3,10820.3,10934.7,10705.9,22.17,-1.25%
11/5/2020,10957.6,10843.2,11026.2,10660.2,15.21,2.35%
8/5/2020,10705.9,10888.9,11049.1,10705.9,26.29,-0.85%
7/5/2020,10797.4,10202.7,10797.4,10202.7,31.03,6.31%
6/5/2020,10156.9,9859.5,10156.9,9836.6,16.05,3.74%
5/5/2020,9790.9,9790.9,9905.3,9745.1,12.41,1.90%
4/5/2020,9607.9,9836.6,9859.5,9607.9,10.18,-2.32%
29/4/2020,9836.6,9790.9,9928.1,9607.9,15.68,0.47%
28/4/2020,9790.9,10065.4,10111.2,9722.3,16.19,-2.51%
27/4/2020,10042.5,10179.8,10339.9,9996.8,13.98,-0.68%
24/4/2020,10111.2,9928.1,10156.9,9745.1,17.48,2.32%
23/4/2020,9882.4,9745.1,10042.5,9745.1,17.58,3.85%
22/4/2020,9516.4,9379.1,9745.1,9287.6,23.25,2.97%
21/4/2020,9241.9,9493.5,9722.3,9219,25.13,-4.72%
20/4/2020,9699.4,9607.9,9836.6,9402,19.84,2.42%
17/4/2020,9470.6,9264.7,9516.4,9241.9,18.57,2.22%
16/4/2020,9264.7,9127.5,9333.4,9036,14.04,0.75%
15/4/2020,9196.1,9150.4,9287.6,9127.5,12.55,0.75%
14/4/2020,9127.5,8830.1,9127.5,8784.4,18.42,3.10%
13/4/2020,8853,8601.3,8921.6,8555.6,19.04,2.93%
10/4/2020,8601.3,8464.1,8692.8,8372.6,11.71,1.35%
9/4/2020,8487,8601.3,8692.8,8487,15.03,-0.80%
8/4/2020,8555.6,8418.3,8601.3,8372.6,10.75,-1.58%
7/4/2020,8692.8,8715.7,8738.6,8349.7,16.12,0.80%
6/4/2020,8624.2,8304,8624.2,8189.6,21.5,6.80%
3/4/2020,8075.2,7892.2,8098.1,7869.3,13.7,2.32%
1/4/2020,7892.2,7640.6,8006.6,7617.7,10.23,2.37%
31/3/2020,7709.2,7480.4,7937.9,6977.2,23.51,3.06%
30/3/2020,7480.4,7000,7640.6,6977.2,22.89,0.93%
27/3/2020,7411.8,7732.1,7777.8,7228.8,28.31,-4.42%
26/3/2020,7754.9,8029.4,8052.3,7732.1,17.93,-4.78%
25/3/2020,8143.8,8166.7,8166.7,7960.8,16.34,4.09%
24/3/2020,7823.6,7777.8,7937.9,7617.7,29.13,-1.16%
23/3/2020,7915.1,7960.8,8235.3,7915.1,27.27,-6.99%
20/3/2020,8509.8,8807.2,8830.1,8509.8,28.22,-2.87%
19/3/2020,8761.5,8875.9,8921.6,8647.1,16.37,-2.79%
18/3/2020,9013.1,8875.9,9196.1,8853,21.9,2.60%
17/3/2020,8784.4,8509.8,8830.1,8509.8,12.75,0.52%
16/3/2020,8738.6,8784.4,9081.7,8670,19.55,0.26%
13/3/2020,8715.7,8258.2,9013.1,8212.5,27.03,-1.04%
12/3/2020,8807.2,8944.5,9058.9,8761.5,27.46,-6.33%
11/3/2020,9402,9928.1,9973.9,9219,17.96,-5.08%
10/3/2020,9905.3,9379.1,9951,9379.1,17.14,3.84%
9/3/2020,9539.3,9539.3,9859.5,9539.3,34.89,-6.92%
6/3/2020,10248.4,10225.5,10271.3,10179.8,6.39,0.22%
5/3/2020,10225.5,10339.9,10362.8,10225.5,5.46,0.00%
4/3/2020,10225.5,10248.4,10339.9,10225.5,6.2,0.22%
3/3/2020,10202.7,10431.4,10431.4,10202.7,9.29,0.00%
2/3/2020,10202.7,10156.9,10294.2,10156.9,8.33,-0.22%
28/2/2020,10225.5,10317,10431.4,10179.8,13.87,-2.61%
27/2/2020,10500,10385.7,10545.8,10385.7,6.99,0.88%
26/2/2020,10408.5,10408.5,10522.9,10385.7,9.48,-1.52%
25/2/2020,10568.7,10339.9,10568.7,10339.9,11.17,1.76%
